"","County","X3.10.20","X3.17.20","X3.24.20","X3.31.20","X4.7.20","X4.14.20","X4.21.20","X4.28.20","X5.5.20","X5.12.20","X5.19.20","X5.26.20","X6.2.20","X6.9.20","X6.16.20","X6.23.20","X6.30.20","X7.7.20","X7.14.20","X7.21.20","X7.28.20","X8.4.20","X8.11.20","X8.18.20","X8.25.20","X9.1.20","X9.8.20","X9.15.20","X9.22.20","X9.29.20","X10.6.20","X10.13.20","X10.20.20","X10.27.20","X11.3.20","X11.10.20","X11.17.20","X11.24.20","X12.1.20","X12.8.20","X12.15.20","X12.22.20","X12.29.20","X1.5.21","X1.12.21","X1.19.21","X1.26.21","X2.2.21","X2.9.21","X2.16.21","X2.23.21","X3.2.21","X3.9.21","X3.16.21","X3.23.21","X3.30.21","X4.6.21","X4.13.21","X4.20.21","X4.27.21","X5.4.21","X5.11.21","X5.18.21","X5.25.21","X6.1.21","X6.8.21","X6.15.21","X6.22.21","X6.29.21","X7.6.21","X7.13.21","X7.20.21","X7.27.21","X8.3.21","X8.10.21","X8.17.21","X8.24.21","X8.31.21","X9.7.21","X9.14.21","X9.21.21","X9.28.21","X10.5.21","X10.12.21","X10.19.21","X10.26.21","X11.2.21","X11.9.21","X11.16.21","X11.23.21","X11.30.21"
"1","Alcona County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0119644508786745","0.00788863228124195","0.0233725001945374","0.0461226558540294","0","0.0221809853778848","0","0","0","0","0","0.0382324058919803","0","0","0.0436524574889354","0.0455046974821496","0","0.0999615014436959","0","0.0485496183206107","0.138238213399504","0","0","0","0.0472933182332956","0","0","0","0","0","0","0","0","0.125997006485947","0","0.0405827674863208","0","0.0408441994891787","0.0405453110425486","0","0","0.0441835645677695","0.046821223709369","0.143324130314743","0","0.160833492640031","0","0.177174515235457"
"2","Alger County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00788863228124195","0","0","0","0","0","0.0554208691897227","0","0","0","0","0","0","0","0.0455046974821496","0","0","0","0","0","0","0.0457240495514737","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0436973537085352","0","0.046821223709369","0","0","0","0","0"
"3","Allegan County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0358933526360235","0.102552219656145","0.0584312504863436","0.107619530326069","0.113445916006105","0.133085912267309","0.100405505401805","0.0554208691897227","0","0","0","0","0","0","0.174609829955742","0.182018789928598","0","0.299884504331088","0.23815987933635","0.145648854961832","0.138238213399504","0.340499457111835","0.0914480991029475","0.226181102362205","0.0945866364665912","0.0945230769230769","0","0.0486903304773562","0","0","0","0.0432793017456359","0","0.0419990021619824","0.041348733768563","0.0811655349726416","0.0807336523125997","0","0.202726555212743","0.20768855656697","0.0436973537085352","0.176734258271078","0.234106118546845","0.286648260629486","0.303947882736156","0.107222328426687","0.560807600950119","0.413407202216066"
"4","Alpena County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.023928901757349","0.0552204259686936","0.0467450003890749","0.0307484372360196","0.0189076526676842","0.0221809853778848","0","0.0277104345948614","0.0306251447094235","0","0","0","0","0.0848687883863763","0.130957372466806","0.0455046974821496","0.0473254627605305","0.199923002887392","0.04763197586727","0.0485496183206107","0","0","0.0914480991029475","0","0","0.0472615384615385","0","0.0486903304773562","0","0","0.0865997552019584","0","0","0","0","0","0.0403668261562998","0.0408441994891787","0.0405453110425486","0","0","0","0.046821223709369","0.143324130314743","0","0.321666985280061","0.112161520190024","0"
"5","Antrim County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007976300585783","0.0157772645624839","0.0350587502918061","0.0153742186180098","0.0189076526676842","0.0221809853778848","0","0","0.0306251447094235","0","0","0","0","0","0.0873049149778709","0.0455046974821496","0.189301851042122","0","0","0.0485496183206107","0","0.048642779587405","0","0","0","0.0472615384615385","0","0","0","0","0","0.0432793017456359","0","0.0839980043239647","0","0","0","0.0408441994891787","0","0","0.0436973537085352","0.088367129135539","0.046821223709369","0","0","0.107222328426687","0.112161520190024","0"
"6","Arenac County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0","0","0","0","0.0221809853778848","0","0","0","0.0325539836187639","0","0.0382324058919803","0.0395660660660661","0","0","0.0455046974821496","0","0.0499807507218479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.041348733768563","0.0405827674863208","0","0","0","0","0.0436973537085352","0.0441835645677695","0","0.0955494202098288","0.101315960912052","0.0536111642133435","0.224323040380047","0.118116343490305"
"7","Baraga County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0","0","0.0153742186180098","0.0189076526676842","0","0.0251013763504513","0","0","0","0.0346171368494831","0","0","0","0","0","0","0.0499807507218479","0.09526395173454","0.0485496183206107","0","0","0","0","0.0472933182332956","0","0.045822454308094","0","0","0","0","0","0.0421604139715395","0","0","0.0405827674863208","0.0807336523125997","0.0408441994891787","0","0","0.0436973537085352","0","0.046821223709369","0","0","0","0","0"
"8","Barry County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015952601171566","0","0.0116862500972687","0.0153742186180098","0.0189076526676842","0","0.0251013763504513","0.0277104345948614","0.0612502894188469","0.0976619508562918","0.0346171368494831","0.0382324058919803","0.0791321321321321","0.0424343941931881","0","0.182018789928598","0.189301851042122","0.149942252165544","0","0.0485496183206107","0.0921588089330025","0","0.0457240495514737","0","0.0472933182332956","0","0","0","0.0448780487804878","0","0","0","0.0843208279430789","0.0419990021619824","0.041348733768563","0","0","0.0408441994891787","0.0405453110425486","0.041537711313394","0.0436973537085352","0.132550693703308","0.140463671128107","0.191098840419658","0.202631921824104","0.107222328426687","0.280403800475059","0.177174515235457"
"9","Bay County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0518459538075895","0.189327174749807","0.151921251264493","0.338232809596216","0.151261221341473","0.199628868400963","0.150608258102708","0.0831313037845841","0.245001157675388","0.0651079672375279","0.0692342736989662","0.152929623567921","0.237396396396396","0.127303182579564","0.130957372466806","0.0910093949642992","0.331278239323713","0.199923002887392","0.42868778280543","0.436946564885496","0.0921588089330025","0.048642779587405","0.228620247757369","0.0904724409448819","0.0472933182332956","0.0472615384615385","0","0","0","0.0456165878501273","0","0","0.0843208279430789","0.125997006485947","0.124046201305689","0.0811655349726416","0.0403668261562998","0.0408441994891787","0","0.124613133940182","0.262184122251211","0.176734258271078","0.327748565965583","0.191098840419658","0.405263843648208","0.643333970560122","0.392565320665083","0.472465373961219"
"10","Benzie County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0.00788863228124195","0","0.0153742186180098","0.0189076526676842","0.0221809853778848","0","0","0","0.0325539836187639","0","0","0","0","0","0","0","0.0499807507218479","0.04763197586727","0","0","0.048642779587405","0.0457240495514737","0","0","0","0","0","0","0","0","0","0.0843208279430789","0","0","0","0","0","0","0","0","0","0.093642447418738","0","0","0.0536111642133435","0.168242280285036","0.0590581717451524"
"11","Berrien County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.055834104100481","0.0473317936874517","0.0350587502918061","0.153742186180098","0.0378153053353683","0.088723941511539","0.175709634453159","0.0831313037845841","0.122500578837694","0.0976619508562918","0.103851410548449","0.0382324058919803","0.0395660660660661","0.127303182579564","0.218262287444677","0.0455046974821496","0.378603702084244","0.149942252165544","0.23815987933635","0.145648854961832","0.230397022332506","0.145928338762215","0.0914480991029475","0.0904724409448819","0","0.0945230769230769","0.137467362924282","0.146070991432069","0.0897560975609756","0.0456165878501273","0.0865997552019584","0","0","0.0839980043239647","0.165394935074252","0.0405827674863208","0.0403668261562998","0.122532598467536","0.162181244170194","0.124613133940182","0.305881475959747","0.309284951974386","0.046821223709369","0.0477747101049144","0.101315960912052","0.214444656853374","0.280403800475059","0.295290858725762"
"12","Branch County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0119644508786745","0.00788863228124195","0.0350587502918061","0.076871093090049","0.0189076526676842","0.0443619707557695","0.0251013763504513","0.0554208691897227","0","0.0325539836187639","0","0","0.0395660660660661","0","0.0873049149778709","0.0455046974821496","0.141976388281591","0","0.04763197586727","0.0485496183206107","0","0","0","0","0","0.0472615384615385","0","0","0","0","0","0","0.0421604139715395","0.0419990021619824","0.082697467537126","0.0405827674863208","0.0807336523125997","0.0816883989783573","0.121635933127646","0.041537711313394","0.0436973537085352","0","0.046821223709369","0.0955494202098288","0","0.0536111642133435","0.224323040380047","0.236232686980609"
"13","Calhoun County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0358933526360235","0.0394431614062098","0.0233725001945374","0.153742186180098","0.0945382633384208","0.110904926889424","0.100405505401805","0.138552172974307","0","0.0976619508562918","0.103851410548449","0.0382324058919803","0.19783033033033","0.127303182579564","0.130957372466806","0.500551672303645","0.283952776563183","0.199923002887392","0.4763197586727","0.339847328244275","0.276476426799007","0.38914223669924","0.411516445963264","0","0.0472933182332956","0.189046153846154","0.045822454308094","0.0486903304773562","0","0","0","0.0432793017456359","0.0421604139715395","0.125997006485947","0.082697467537126","0","0.201834130781499","0.0408441994891787","0.0810906220850972","0.083075422626788","0.174789414834141","0.176734258271078","0.374569789674952","0.143324130314743","0.202631921824104","0.482500477920092","0.448646080760095","0.944930747922438"
"14","Cass County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0119644508786745","0.0315545291249678","0.0467450003890749","0.0153742186180098","0","0.0221809853778848","0.0502027527009027","0.110841738379445","0","0.0651079672375279","0.0692342736989662","0","0.0395660660660661","0.0424343941931881","0.0436524574889354","0.0910093949642992","0.0473254627605305","0.0499807507218479","0.04763197586727","0.0485496183206107","0","0","0","0.0452362204724409","0","0","0","0.0486903304773562","0","0","0","0","0","0","0.041348733768563","0.0405827674863208","0.0403668261562998","0.0816883989783573","0","0.124613133940182","0.0436973537085352","0.0441835645677695","0.046821223709369","0.143324130314743","0.0506579804560261","0.107222328426687","0.112161520190024","0.236232686980609"
"15","Charlevoix County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0","0.0116862500972687","0.0153742186180098","0","0","0","0.0277104345948614","0","0","0","0","0","0","0.0436524574889354","0.136514092446449","0.0473254627605305","0.0999615014436959","0","0","0.0460794044665012","0","0","0.0452362204724409","0","0","0","0","0","0","0","0","0.126481241914618","0.0419990021619824","0","0.0405827674863208","0.0403668261562998","0.0408441994891787","0","0","0.0873947074170704","0","0.046821223709369","0.143324130314743","0.151973941368078","0.0536111642133435","0.168242280285036","0"
"16","Cheboygan County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0153742186180098","0","0.0221809853778848","0","0","0.0612502894188469","0.0325539836187639","0","0","0","0","0","0.0910093949642992","0.0473254627605305","0.0499807507218479","0","0.145648854961832","0","0","0","0","0.0472933182332956","0","0","0.0486903304773562","0","0","0","0","0.0843208279430789","0.0419990021619824","0.082697467537126","0","0.0403668261562998","0.0816883989783573","0.0810906220850972","0.041537711313394","0.174789414834141","0.0441835645677695","0","0.143324130314743","0.101315960912052","0.160833492640031","0.0560807600950119","0.118116343490305"
"17","Chippewa County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0","0.0350587502918061","0.0614968744720392","0.0378153053353683","0","0.0251013763504513","0.0554208691897227","0","0","0.0692342736989662","0","0.0791321321321321","0","0.0436524574889354","0.0455046974821496","0","0","0.04763197586727","0","0","0","0","0","0.0472933182332956","0","0","0","0","0.0456165878501273","0","0","0","0","0","0","0.0403668261562998","0","0","0.124613133940182","0.0873947074170704","0.176734258271078","0.234106118546845","0.143324130314743","0","0.0536111642133435","0.0560807600950119","0.118116343490305"
"18","Clare County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0119644508786745","0.102552219656145","0.0116862500972687","0.138367967562088","0.0189076526676842","0.0221809853778848","0","0","0","0","0","0","0","0","0.0436524574889354","0","0.141976388281591","0.0499807507218479","0.14289592760181","0.145648854961832","0","0.048642779587405","0.0914480991029475","0","0","0.0945230769230769","0.045822454308094","0","0","0","0.0432998776009792","0","0.0421604139715395","0","0.041348733768563","0.0405827674863208","0","0.0408441994891787","0.0810906220850972","0","0.131092061125606","0.088367129135539","0.093642447418738","0.191098840419658","0.202631921824104","0.268055821066718","0.0560807600950119","0.236232686980609"
"19","Clinton County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0199407514644575","0.0473317936874517","0.0233725001945374","0.153742186180098","0.0756306106707367","0.0443619707557695","0.0251013763504513","0.0277104345948614","0","0.0651079672375279","0","0.0764648117839606","0.0395660660660661","0","0.0873049149778709","0.136514092446449","0.0473254627605305","0.0499807507218479","0.14289592760181","0","0.138238213399504","0.048642779587405","0.0457240495514737","0.0452362204724409","0","0.0472615384615385","0.045822454308094","0.0973806609547124","0","0","0","0","0","0.125997006485947","0","0","0.0403668261562998","0.0408441994891787","0.121635933127646","0.041537711313394","0","0.088367129135539","0.187284894837476","0.191098840419658","0.25328990228013","0.214444656853374","0.336484560570071","0.118116343490305"
"20","Crawford County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0424343941931881","0.0436524574889354","0","0.189301851042122","0.0999615014436959","0","0.0970992366412214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0403668261562998","0","0","0.041537711313394","0","0","0","0.0477747101049144","0","0","0","0"
"21","Delta County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0","0.0116862500972687","0.0153742186180098","0.0378153053353683","0.0443619707557695","0","0","0","0.0325539836187639","0","0","0.0395660660660661","0.0424343941931881","0","0","0.0473254627605305","0","0.14289592760181","0.0970992366412214","0","0.048642779587405","0","0.0452362204724409","0","0","0","0","0","0","0","0","0","0","0","0","0.0403668261562998","0.122532598467536","0.0405453110425486","0.083075422626788","0","0.0441835645677695","0.046821223709369","0.191098840419658","0.151973941368078","0.0536111642133435","0.280403800475059","0.295290858725762"
"22","Dickinson County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007976300585783","0","0","0","0","0","0","0","0","0.0325539836187639","0","0.0382324058919803","0","0","0","0.0455046974821496","0.0473254627605305","0.0499807507218479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0405827674863208","0","0","0","0","0.131092061125606","0.088367129135539","0","0.0955494202098288","0.101315960912052","0","0.0560807600950119","0.0590581717451524"
"23","Eaton County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0438696532218065","0.0867749550936615","0.0701175005836123","0.199864842034127","0.151261221341473","0.133085912267309","0.075304129051354","0.0831313037845841","0.153125723547117","0.0325539836187639","0.103851410548449","0.0382324058919803","0","0.127303182579564","0.174609829955742","0.318532882375047","0.378603702084244","0.349865255052935","0.28579185520362","0.388396946564885","0.230397022332506","0","0","0.0904724409448819","0.0945866364665912","0.0472615384615385","0","0","0","0","0","0","0","0.0839980043239647","0","0.0405827674863208","0.161467304625199","0.163376797956715","0.202726555212743","0.166150845253576","0.0873947074170704","0.132550693703308","0.280927342256214","0.238873550524572","0.101315960912052","0.321666985280061","0.729049881235154","0.649639889196676"
"24","Emmet County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00788863228124195","0","0.0153742186180098","0","0.0221809853778848","0.0251013763504513","0.0277104345948614","0.0306251447094235","0","0","0","0","0.0424343941931881","0","0.0455046974821496","0","0","0","0","0.0460794044665012","0","0.0457240495514737","0","0","0","0","0","0","0","0","0","0","0","0.082697467537126","0","0","0.0408441994891787","0","0.083075422626788","0.0436973537085352","0","0","0.0955494202098288","0","0.107222328426687","0.112161520190024","0"
"25","Genesee County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.147561560836986","0.236658968437259","0.303842502528987","0.507349214394323","0.22689183201221","0.155266897645193","0.200811010803611","0.166262607569168","0.153125723547117","0.130215934475056","0.173085684247416","0.229394435351882","0.356094594594595","0.424343941931881","0.829396692289773","1.27413152950019","0.94650925521061","1.1495572666025","1.04790346907994","1.11664122137405","0.875508684863524","0.145928338762215","0.457240495514737","0.316653543307087","0.283759909399774","0.0945230769230769","0.045822454308094","0.0973806609547124","0.0897560975609756","0.0456165878501273","0.173199510403917","0.129837905236908","0.252962483829237","0.0839980043239647","0.289441136379941","0.365244907376887","0.242200956937799","0.163376797956715","0.28381717729784","0.456914824447334","0.524368244502423","0.618569903948773","0.889603250478011","0.573296521258973","0.709211726384365","0.589722806346779","2.01890736342043","0.944930747922438"
"26","Gladwin County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0.00788863228124195","0.0233725001945374","0.0614968744720392","0.0189076526676842","0","0","0.0277104345948614","0","0","0","0","0","0","0","0","0.141976388281591","0.199923002887392","0.19052790346908","0.0970992366412214","0.0921588089330025","0.048642779587405","0","0","0","0.0945230769230769","0","0","0","0","0","0","0","0","0.041348733768563","0","0","0.122532598467536","0.0405453110425486","0","0.0436973537085352","0.088367129135539","0.093642447418738","0.0955494202098288","0.202631921824104","0.107222328426687","0.112161520190024","0.118116343490305"
"27","Gogebic County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0039881502928915","0.00788863228124195","0","0.0307484372360196","0.0378153053353683","0.0221809853778848","0.0251013763504513","0.0277104345948614","0.0306251447094235","0","0.0346171368494831","0","0","0.0424343941931881","0","0","0","0","0","0","0","0","0.0457240495514737","0.0452362204724409","0","0","0","0","0.0448780487804878","0","0","0","0","0","0","0","0","0","0","0.041537711313394","0","0","0","0.0477747101049144","0","0","0.112161520190024","0"
